Date, Open, High, Low, Close, Volume
8/4/2022,524.9,525,521,523.1,269148
8/3/2022,526,526,522,523.7,210016
8/2/2022,522.1,523.6,521.1,521.8,230101
8/1/2022,529.6,529.6,522.5,523.7,101294
7/28/2022,518,518,510,514.5,67678
7/27/2022,521.5,521.6,516,516.9,122940
7/26/2022,522,527.7,521,522.3,124971
7/25/2022,518,520,516,519.7,131554
7/21/2022,524.4,524.5,522.2,523.4,106048
7/20/2022,530,530,518,521,166289
7/19/2022,528,528,518,521,199735
7/18/2022,538.2,538.2,527.8,528.5,149234
7/14/2022,541,541,537.9,538.4,81513
7/13/2022,539.7,541.3,538.6,539.2,43602
7/12/2022,543.9,543.9,538.5,539.6,67869
7/7/2022,544.8,544.8,540.1,541.4,68432
7/6/2022,540,541.4,539.6,540,65977
7/5/2022,540.8,542.5,539.7,539.9,137821
7/4/2022,541.3,547,540,540.7,89833
6/30/2022,543.6,547.9,542.5,543.5,121785
6/29/2022,542.1,544,541.5,542.6,141003
6/28/2022,543.7,544,541,541.9,161737
6/27/2022,542.3,545,541,541.4,104386
6/23/2022,547,547,541.9,542,91800
6/22/2022,542.9,551.9,541.5,542.2,149398
6/21/2022,553,553,542.8,542.9,73057
6/20/2022,551,551,542.9,543.8,85808
6/16/2022,545,559,545,548.5,101383
6/15/2022,551,552,542.7,544.5,100754
6/14/2022,552,554.5,549.5,549.9,124720
6/13/2022,553.8,556,550,551.9,97212
6/9/2022,568.2,568.2,555.6,556.8,87694
6/8/2022,565,565,560,562.6,89964
6/7/2022,569.2,570,560.5,561.3,52923
6/6/2022,570.3,578,568.4,570.1,83431
6/2/2022,550.9,558,550.9,555.7,61678
6/1/2022,550,553,548.7,550.9,85561
5/31/2022,550.1,553,549.5,550.7,82027
5/30/2022,552,555.8,548,549.7,135230
5/26/2022,539.5,543.8,539.1,540.9,42025
5/25/2022,540,541.9,536,539.7,85499
5/24/2022,549,550,542.2,543.1,122326
5/23/2022,546,550,538.2,546.7,104834
5/19/2022,547.7,547.7,535.1,539.5,179774
5/18/2022,557.7,558,545.3,547.7,129700
5/17/2022,563,567.8,550,553.6,141802
5/16/2022,578,578,559,561.1,189674
5/12/2022,583,583,575,575.6,93349
5/11/2022,581,581.5,577.1,579.2,115669
5/10/2022,585,585,580,580.3,158545
5/9/2022,581.7,587,581.7,583.8,121554
5/5/2022,582,583.4,580,581.2,49898
4/28/2022,580.3,582,577.7,581.7,125843
4/27/2022,583,585,581,581.9,100163
4/26/2022,584.6,587.8,582.5,582.9,81089
4/25/2022,587.8,587.8,583.2,584.6,72503
4/21/2022,582.9,582.9,579.3,579.9,165403
4/20/2022,579.9,581,577,578.9,74376
4/19/2022,574,582,571.2,579.4,174386
4/18/2022,573.6,579.9,571.1,574.1,103354
4/13/2022,576.3,586.7,570.5,576.4,129033
4/12/2022,576.1,579.8,575.1,576.3,38859
4/11/2022,578.2,584,574.5,579.7,42286
4/7/2022,578.9,580,574.5,576.1,56793
4/6/2022,582,582,578.2,578.9,50258
4/5/2022,583.5,583.5,581,581.8,71063
4/4/2022,589,589,583.9,584,61128
3/31/2022,580.1,587,580.1,584.5,85417
3/30/2022,582.8,586,580.1,580.7,61399
3/29/2022,589.7,589.7,582.4,582.8,116596
3/28/2022,585.8,586,584.4,585.1,123647
3/24/2022,589.1,589.5,585.4,586.1,71681
3/23/2022,589.6,593,588,589.1,70403
3/22/2022,590,590.9,585.2,589.6,66911
3/21/2022,586.8,590.7,582,588.4,56012
3/16/2022,593.2,596.8,593.2,595.3,79277
3/15/2022,593,595,591.7,592.6,101214
3/14/2022,589,593.8,587.4,590.7,96161
3/10/2022,575,589,575,579.1,166829
3/9/2022,570,579,567,573.8,209244
3/8/2022,573.4,578.5,550.1,566.7,330911
3/7/2022,593.1,594,572.5,573.4,293089
3/2/2022,613.3,613.4,610.1,612.3,279298
3/1/2022,611.1,616.8,611,613.8,168068
2/28/2022,608,620,608,614.1,262657
2/24/2022,624,629.4,615,616.8,240390
2/23/2022,610.5,626.9,610.1,623.6,119694
2/22/2022,616.3,616.4,610,610.6,327901
2/17/2022,626.1,626.1,621.6,622.8,204237
2/16/2022,630,630,625.1,626.3,181803
2/15/2022,632.5,633.8,626.5,628.6,191090
2/14/2022,638.5,639.9,632,634.2,177274
2/10/2022,635,635,605,627.5,806293
2/9/2022,650,650,642,644.5,364353
2/8/2022,655,655.9,645.1,646,662371
2/7/2022,678,678,652,654.5,630790
2/3/2022,653,660.9,649.6,650.8,487922
2/2/2022,651,652.1,648.5,649,157557
2/1/2022,649.2,653,645.2,649.7,273337
1/31/2022,653,653.5,648.7,649.2,228788
1/27/2022,660,660,651.2,656,303994
1/26/2022,662.8,663,658,658.9,206902
1/25/2022,673.9,674.7,659,660.3,377423
1/24/2022,670,680,666.1,672.5,479782
1/20/2022,645,648.3,644.8,645.9,130472
1/19/2022,645,650,644.7,645.9,148785
1/18/2022,647,650.9,645.9,646.2,203847
1/17/2022,650.9,650.9,646.4,647,175416
1/13/2022,649.6,652,647,649.6,122244
1/12/2022,651,654.8,647.6,649.1,186257
1/11/2022,651,655.1,648.6,650.5,227101
1/10/2022,650,655.2,648.8,649.9,185612
1/6/2022,651.2,658,649.1,655.5,214376
1/5/2022,649,653.1,647,651.2,156364
1/4/2022,650,652,646.8,647.4,95460
1/3/2022,647.3,660,646.1,652.9,283257
12/30/2021,634.8,639.8,632.7,635.6,95882
12/29/2021,640,647,630.8,634.5,120326
12/28/2021,624,640,624,637.2,88461
12/27/2021,626.3,633.7,622.5,623.8,167286
12/23/2021,639.9,640.6,635.1,635.9,107086
12/22/2021,641,641,638.7,639.7,126167
12/21/2021,640,642.8,638.6,640.1,98790
12/20/2021,645.6,651,638.1,639,156303
12/15/2021,650.7,658.5,648.5,657.4,169674
12/14/2021,655.5,661,649,650.7,182514
12/13/2021,666,666,652.5,655.4,136237
12/9/2021,644.8,652.3,642,650.2,275429
12/8/2021,646.1,646.1,640,640.8,147658
12/7/2021,648,655.5,645.1,646.1,192803
12/6/2021,642.5,647.7,639,646.3,142505
12/2/2021,626.1,633.2,622,631.4,152992
12/1/2021,621.2,630.5,621.2,626.1,100219
11/30/2021,626.8,626.8,619.5,620.4,554312
11/29/2021,627.1,628.1,624.9,626.7,116877
11/25/2021,629.5,632.5,620.3,628,176023
11/24/2021,640,641.9,628.9,629.3,170846
11/23/2021,635.2,644.8,633.2,634.2,217223
11/22/2021,648.2,648.2,631,634.8,295947
11/18/2021,622.3,639.5,620,635.3,464464
11/17/2021,611.1,625,611,618.5,320217
11/15/2021,611,621,607,619.2,249713
11/11/2021,627.5,629.8,618,619.1,296706
11/10/2021,624.8,627.3,619,623.5,265051
11/9/2021,620,629.8,617,618.6,321581
11/8/2021,639.5,639.9,620,623.4,465540
11/4/2021,602,620,588.1,616.4,842178
11/3/2021,630,630,601,606.4,714157
